C=1456008747877862,D=1456008747878119
C=1456008747879707,D=1456008747880441
C=1456008747895941,D=1456008747896383
C=1456008747907568,D=1456008747908065
C=1456008747922698,D=1456008747922817
C=1456008747933212,D=1456008747933359
C=1456008747971732,D=1456008747971867
C=1456008747975631,D=1456008747975843
C=1456008747990960,D=1456008747991332
C=1456008748007092,D=1456008748007367
C=1456008748008757,D=1456008748008871
C=1456008748027420,D=1456008748028097
C=1456008748031877,C=1456008748033991,D=1456008748034125
D=1456008748035274
C=1456008748060072,D=1456008748060212
C=1456008748102716,D=1456008748102842
C=1456008748113021,D=1456008748113228
C=1456008748151355,D=1456008748151530
C=1456008748165363,D=1456008748166326
C=1456008748170245,D=1456008748170706
C=1456008748172467,D=1456008748173155
C=1456008748186391,D=1456008748186524
C=1456008748188487,D=1456008748189224
C=1456008748189233,D=1456008748189563
C=1456008748197119,D=1456008748197702
C=1456008748203771,D=1456008748203892
